round,pair,cosine_distance,window_mean_cosine_distance
11,agent_1_vs_agent_2,0.3667,0.305281
12,agent_1_vs_agent_2,0.2486,0.303546
13,agent_1_vs_agent_2,0.286057,0.298973
14,agent_1_vs_agent_2,0.312436,0.310347
15,agent_1_vs_agent_2,0.312911,0.31194
16,agent_1_vs_agent_2,0.231525,0.313063
17,agent_1_vs_agent_2,0.49308,0.324167
18,agent_1_vs_agent_2,0.275897,0.295196
19,agent_1_vs_agent_2,0.322935,0.307365
20,agent_1_vs_agent_2,0.423853,0.327399
21,agent_1_vs_agent_2,0.255386,0.316268
22,agent_1_vs_agent_2,0.417101,0.333118
23,agent_1_vs_agent_2,0.31314,0.335826
24,agent_1_vs_agent_2,0.294159,0.333999
25,agent_1_vs_agent_2,0.370614,0.339769
26,agent_1_vs_agent_2,0.379812,0.354598
27,agent_1_vs_agent_2,0.246431,0.329933
28,agent_1_vs_agent_2,0.263839,0.328727
29,agent_1_vs_agent_2,0.37588,0.334022
30,agent_1_vs_agent_2,0.312917,0.322928
31,agent_1_vs_agent_2,0.457754,0.343165
32,agent_1_vs_agent_2,0.45076,0.346531
33,agent_1_vs_agent_2,0.285404,0.343757
34,agent_1_vs_agent_2,0.228956,0.337237
35,agent_1_vs_agent_2,0.366166,0.336792
36,agent_1_vs_agent_2,0.454297,0.34424
37,agent_1_vs_agent_2,0.399834,0.359581
38,agent_1_vs_agent_2,0.462284,0.379425
39,agent_1_vs_agent_2,0.378811,0.379718
40,agent_1_vs_agent_2,0.315029,0.379929
41,agent_1_vs_agent_2,0.379808,0.372135
42,agent_1_vs_agent_2,0.31205,0.358264
43,agent_1_vs_agent_2,0.306963,0.36042
44,agent_1_vs_agent_2,0.552384,0.392762
45,agent_1_vs_agent_2,0.225417,0.378688
46,agent_1_vs_agent_2,0.344902,0.367748
47,agent_1_vs_agent_2,0.290665,0.356831
48,agent_1_vs_agent_2,0.402502,0.350853
49,agent_1_vs_agent_2,0.299602,0.342932
