round,pair,cosine_distance,window_mean_cosine_distance
13,agent_1_vs_agent_2,0.324527,0.360323
14,agent_1_vs_agent_2,0.404278,0.369841
15,agent_1_vs_agent_2,0.196591,0.351278
16,agent_1_vs_agent_2,0.255166,0.345093
17,agent_1_vs_agent_2,0.373528,0.334862
18,agent_1_vs_agent_2,0.190887,0.318164
19,agent_1_vs_agent_2,0.336325,0.326245
20,agent_1_vs_agent_2,0.576327,0.345419
21,agent_1_vs_agent_2,0.303206,0.332494
22,agent_1_vs_agent_2,0.356626,0.331746
23,agent_1_vs_agent_2,0.346834,0.333977
24,agent_1_vs_agent_2,0.316512,0.3252
25,agent_1_vs_agent_2,0.379588,0.3435
26,agent_1_vs_agent_2,0.324437,0.350427
27,agent_1_vs_agent_2,0.397042,0.352778
28,agent_1_vs_agent_2,0.405813,0.374271
29,agent_1_vs_agent_2,0.366342,0.377273
30,agent_1_vs_agent_2,0.271089,0.346749
31,agent_1_vs_agent_2,0.331782,0.349606
32,agent_1_vs_agent_2,0.230533,0.336997
33,agent_1_vs_agent_2,0.387009,0.341015
34,agent_1_vs_agent_2,0.366725,0.346036
35,agent_1_vs_agent_2,0.322656,0.340343
36,agent_1_vs_agent_2,0.178651,0.325764
37,agent_1_vs_agent_2,0.327233,0.318783
38,agent_1_vs_agent_2,0.646494,0.342851
39,agent_1_vs_agent_2,0.426554,0.348873
40,agent_1_vs_agent_2,0.307301,0.352494
41,agent_1_vs_agent_2,0.406523,0.359968
42,agent_1_vs_agent_2,0.404615,0.377376
43,agent_1_vs_agent_2,0.274524,0.366128
44,agent_1_vs_agent_2,0.296577,0.359113
45,agent_1_vs_agent_2,0.278058,0.354653
46,agent_1_vs_agent_2,0.170313,0.353819
47,agent_1_vs_agent_2,0.41622,0.362718
48,agent_1_vs_agent_2,0.386008,0.336669
